City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Macklin,52.3334,-109.9348,8.6,78,5,11.5,CA,clear sky
79,Puerto Ayora,-0.7393,-90.3518,80.6,78,20,8.05,EC,few clouds
80,Skelleftea,64.7507,20.9528,48.0,46,0,19.57,SE,clear sky
81,Chokurdakh,70.6333,147.9167,-13.99,100,84,3.44,RU,broken clouds
82,East London,-33.0153,27.9116,75.2,78,0,13.8,ZA,clear sky
83,Bambous Virieux,-20.3428,57.7575,78.01,94,40,1.14,MU,light rain
84,San Miguel Chicaj,15.1,-90.4,69.8,94,90,1.07,GT,mist
85,Busselton,-33.65,115.3333,63.0,90,88,7.0,AU,overcast clouds
86,Angoche,-16.2325,39.9086,79.09,72,94,12.59,MZ,overcast clouds
87,Cape Town,-33.9258,18.4232,71.01,60,0,14.97,ZA,clear sky
88,Leningradskiy,69.3833,178.4167,-1.01,88,100,15.66,RU,overcast clouds
89,Belmonte,-15.8631,-38.8828,86.0,54,40,18.41,BR,scattered clouds
90,Peniche,39.3558,-9.3811,73.0,55,90,8.99,PT,overcast clouds
91,Lebu,-37.6167,-73.65,61.97,73,82,6.82,CL,broken clouds
92,Pisco,-13.7,-76.2167,75.2,60,40,13.8,PE,scattered clouds
93,Salalah,17.0151,54.0924,86.0,54,0,5.75,OM,clear sky
94,Poronaysk,49.2167,143.1167,30.56,90,99,7.43,RU,overcast clouds
95,Faanui,-16.4833,-151.75,81.34,75,45,8.14,PF,scattered clouds
96,Fortuna,40.5982,-124.1573,41.0,100,1,6.91,US,clear sky
97,Teguldet,57.3064,88.1667,22.69,92,100,7.43,RU,overcast clouds
98,Bermejo,-32.8833,-68.8,71.6,40,0,4.61,AR,clear sky
99,Jaipur,26.9167,75.8167,91.4,7,5,11.5,IN,dust
100,Esperance,-33.8667,121.9,82.4,13,38,16.11,AU,scattered clouds
101,Kavaratti,10.5669,72.642,84.81,71,99,13.29,IN,overcast clouds
102,Monte Alegre,-2.0078,-54.0692,86.22,60,78,5.82,BR,broken clouds
