City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Torbay,CA,2021-03-29 19:51:28,47.6666,-52.7314,33.01,93,90,40.29
68,Nikolskoye,RU,2021-03-29 19:51:29,59.7035,30.7861,46.99,49,40,13.42
69,Oranjemund,NA,2021-03-29 19:51:29,-28.55,16.4333,61.23,88,0,4.32
70,Butaritari,KI,2021-03-29 19:51:29,3.0707,172.7902,80.8,80,80,13.47
71,Georgetown,MY,2021-03-29 19:50:12,5.4112,100.3354,82.0,89,20,2.19
72,Bethel,US,2021-03-29 19:48:50,41.3712,-73.414,52.0,28,1,13.8
73,Hermanus,ZA,2021-03-29 19:51:30,-34.4187,19.2345,67.06,65,26,3.76
74,Nouadhibou,MR,2021-03-29 19:51:30,20.931,-17.0347,64.0,83,2,22.91
75,Loandjili,CG,2021-03-29 19:51:31,-4.7561,11.8578,80.6,89,20,5.75
76,Vaini,TO,2021-03-29 19:51:31,-21.2,-175.2,78.8,89,20,9.22
77,Kapaa,US,2021-03-29 19:51:32,22.0752,-159.319,75.0,78,90,13.8
78,Ilulissat,GL,2021-03-29 19:51:32,69.2167,-51.1,12.2,48,75,2.3
79,Makakilo City,US,2021-03-29 19:51:32,21.3469,-158.0858,78.8,61,1,8.05
80,Port Alfred,ZA,2021-03-29 19:51:33,-33.5906,26.891,69.31,84,88,24.38
81,Bangil,ID,2021-03-29 19:51:33,-7.5994,112.8186,78.8,94,20,3.44
82,Kabelvag,NO,2021-03-29 19:51:33,68.2114,14.4817,39.2,87,75,13.8
83,Port Keats,AU,2021-03-29 19:51:34,-14.25,129.55,76.26,71,100,7.45
84,Severo-Kurilsk,RU,2021-03-29 19:51:34,50.6789,156.125,35.06,96,100,16.11
85,San Giuseppe Jato,IT,2021-03-29 19:51:35,37.9734,13.1881,57.99,88,0,10.36
86,Narsaq,GL,2021-03-29 19:51:35,60.9167,-46.05,24.8,46,75,5.75
87,Bundaberg,AU,2021-03-29 19:51:36,-24.85,152.35,70.0,88,13,8.05
88,Lebu,CL,2021-03-29 19:51:36,-37.6167,-73.65,62.46,72,2,5.26
89,Teguldet,RU,2021-03-29 19:51:36,57.3064,88.1667,22.37,84,100,11.54
90,Te Anau,NZ,2021-03-29 19:51:37,-45.4167,167.7167,50.04,92,100,1.34
91,Mahebourg,MU,2021-03-29 19:51:37,-20.4081,57.7,77.0,88,20,5.75
92,Praia Da Vitoria,PT,2021-03-29 19:51:37,38.7333,-27.0667,62.6,77,40,23.94
93,Punta Arenas,CL,2021-03-29 19:51:38,-53.15,-70.9167,46.4,93,90,4.61
94,Rawlins,US,2021-03-29 19:51:38,41.7911,-107.2387,48.2,29,90,36.82
95,Gamba,GA,2021-03-29 19:51:39,-2.65,10.0,76.32,85,97,1.07
96,Locri,IT,2021-03-29 19:51:39,38.2414,16.2623,57.99,54,3,12.66
97,Olafsvik,IS,2021-03-29 19:51:39,64.8945,-23.7142,30.22,62,100,13.22
98,Batagay,RU,2021-03-29 19:51:40,67.6333,134.6333,-10.97,100,82,2.51
99,Carnarvon,AU,2021-03-29 19:51:40,-24.8667,113.6333,78.8,89,69,9.22
100,Kryve Ozero,UA,2021-03-29 19:51:41,47.9524,30.3493,43.57,86,63,4.41
101,Tuktoyaktuk,CA,2021-03-29 19:51:41,69.4541,-133.0374,-16.6,83,20,14.97
102,Castro,BR,2021-03-29 19:51:41,-24.7911,-50.0119,70.81,81,21,10.07
103,Barentu,ER,2021-03-29 19:51:42,15.1139,37.5928,79.23,43,12,4.88
104,Gibara,CU,2021-03-29 19:51:42,21.1097,-76.1317,91.4,46,20,16.11
105,Sars,RU,2021-03-29 19:51:42,56.5502,57.1366,28.27,95,100,2.86
106,Atuona,PF,2021-03-29 19:51:43,-9.8,-139.0333,80.85,78,24,18.45
107,Victoria,HK,2021-03-29 19:48:12,22.2855,114.1577,78.01,87,22,7.52
108,Tutoia,BR,2021-03-29 19:51:43,-2.7619,-42.2744,86.0,74,40,14.97
109,Beringovskiy,RU,2021-03-29 19:51:44,63.05,179.3167,14.2,89,100,16.69
110,Wajima,JP,2021-03-29 19:51:44,37.4,136.9,51.78,72,100,7.99
111,Mahibadhoo,MV,2021-03-29 19:51:44,3.7833,72.9667,79.66,78,100,11.9
112,Campina Verde,BR,2021-03-29 19:51:45,-19.5356,-49.4864,92.43,28,5,2.98
113,Linguere,SN,2021-03-29 19:51:45,15.3953,-15.1193,95.0,18,0,6.91
114,Souillac,MU,2021-03-29 19:51:46,-20.5167,57.5167,77.0,88,20,5.75
115,Kandrian,PG,2021-03-29 19:51:46,-6.2167,149.55,75.85,91,100,5.57
